Volcano Village Lodge,Laurie K,5.0,완벽한 목가적! 광고 한 것처럼. :-),"우리는 Mauna Kea 방에 머물렀다. 그리고 그것은 완전했다! 설정, 전망, 가구, 장식, 객실 디자인 및 재료가 합쳐져 평화 롭고 환영받는 경험을 선사합니다. 추가 사려 깊은, 그러나 의외, 보너스 목 지원 베개의 가용성이었다! Pua는 매력적인 호스트이었다. 그녀는 전화로 우리를 방문하기 전에 일주일 동안 도움이되었고, 직접 만나서 매력적이었습니다. 우리가 운전 지침을 잘못 해석했을 때 그녀는 심지어 우리를 2 마일 정도 운전해서 직진 시켰습니다! 우리는 화산 마을 별장에 머물렀다 니 정말 기쁩니다. 나는 그것을 매우 추천한다!",숙박 날짜: 2019년 2월
Volcano Village Lodge,drndrn,5.0,놀랍고 아름다운 롯지,"우리는 13 명의 86 살의 10 명의 사람의 우리 확장 된 가족과 함께 화산 마을 비밀 결사에 머물렀다. 별장은 절대적으로 마법입니다. 우리는 열대 우림에 4 개의 독립적 인 독립형 스위트를 보유하고 있었으며, 모두 나무로 된 산책로와 조명이 잘 어우러진 통로로 연결되어 있습니다. 각 스위트 룸은 아름답게 장식되어 매우 편안합니다. 냉장고에는 매일 신선한 과일과 집에서 조리 한 아침 식사가 준비되어 있으며, 커피와 차를 선택할 수 있습니다. 우리의 주인 인 푸아 (Pua)는 엄청 따뜻하고 친절했고 환영했습니다. 그녀는 우리 모두가 공동의 지역에서 아침 식사를 할 수 있도록 초대 했으므로 우리 가족은 더 많은 공간을 가질 수있었습니다. 그녀는 믿을 수없는 자원이었고, 지역의 음식점과 먹거리에 대한 제안과 지시를주었습니다. 그녀는 최근의 화산 폭발에 대한 이야기를 나누었고 우리에게도 똑같이 환영하는 가족을 소개했습니다. 우리는 우리 체재의 끝에서 안녕을 말하기 위해 매우 유감스럽게 생각했다! 화산 국립 공원이 단 몇 분 거리에 있습니다. 우리는 공원을 탐험하는 날과 야외 온수 욕조에서의 저녁을 보냈습니다. 우리는 Pua와이 놀라운 여관에 더 만족할 수 없었습니다. 매우 추천하는! !",숙박 날짜: 2019년 1월
Volcano Village Lodge,singaporemarsha,5.0,세계에서 가장 조용한 곳 중 하나,코나 (Kona) 나 힐로 푸아 (Hilo - - Pua)와 같은 하와이 (Hawaii) 마을의 활기가 넘치는 멋진 1 - 2 박 퇴각은 환상적인 호스트입니다. . . 놀라운 그녀의 프렌치 토스트. . . 아름다운 주변 환경. . . 잘 돌봐. . . 조금 비싸더라도 진정한 특별한 장소.,숙박 날짜: 2018년 11월
Volcano Village Lodge,anagbl,1.0,정말 실망했다.,"아마이 호텔은 나머지 사람들의 의견대로 훌륭하지만, 불행히도 나는 결코 여기에 머물지 못했고, 여기에 실망한 이유가 있습니다. 나는 2018 년 5 월에 며칠간 환불되지 않는 예약을 위해 일찍 정말로 예약하고 지불했습니다. Halema 'uma'는 예약이 시작되기 전에 분출을 시작했습니다. 화산 국립 공원이 폐쇄되었습니다. 화산 마을 자체는 결코 닫히지 않았거나 접근 할 수 없었지만, 화산은 낮은 동쪽 갈라진 틈 지대에서 연속적으로 활발한 용암 분출 (실제로 그것들을 불렀을 때)과 함께 정말로 믿기 어려웠습니다. Plenty of Fissures는 매우 활동적이어서 바다로 큰 채널 화 된 흐름을 만들어 해안선을 따라 공중으로 큰 잔잔한 깃털을 보냅니다. 또한 작은 지진. 호텔의 정확한 면적이 대중에게 공개 된 적이 없었 음을 이해합니다. 호텔에서 많은 취소를받은 것으로 알고 있습니다. 나는 나의 예약이 환불되지 않았다는 것도 알고있다. 그러나 내가 이해할 수없는 것은 그들이 내가 하와이를 떠날 계획이라고 말하면서 그들에게 연락했을 때 보여주는 작은 동정이다. 나의 항공사는 우리에게 요청하고있다 / 섬을 떠날 것을 권유하고, 무료로 비행편을 변경한다. 변경을 허용하지 않음). 나는 호텔에 최소한 세금 환불을 요청했다. 우리는 나타나지 않을 것이며 서비스를 제공하지 않을 것이다. . 그러나 그들은 그렇지 않았다. 그들은 1 페니를 환불하지 않았다. 아무것도 지불하지 않은 ""운""이라면 제스처를받는 것이 정말 좋을 것입니다. 나는 내 안전을 위해 섬을 떠나야한다는 느낌이 미치지 않는다고 생각한다.",숙박 날짜: 2018년 5월
Volcano Village Lodge,Surgie,5.0,더 이상 우리의 방문 이 있다!,우리는 이 아름다운 곳이 지 볼케이노 빌리지에 로지. 정말 최고! 방은 아늑하고 (마우나 케아) 을 환영합니다. 우리는 베란다에 사용 한 가운데 열대 우림 - 에서 전까지는 vnp! 우리는 매일 매일의 벽난로 에 만들어진 방. 주인은 정말 친절하고 자세한 내용 후에 도착하는 거라는 6:00 오후. 모든 것이 아주 쉽게. 아침 식사는 맛있었고 왼쪽에 있습니다. 정말 좋은 아침식사와 신선한 커피를 있게 한 방에. 하고 싶고 더 많은 시간을 활용할 수 방에서 사용할 시간이 정원 온수 욕조가 있습니다. 다른 사람들이 아름다운 곳을 추천 합니다.,숙박 날짜: 2017년 9월
Hilton Waikoloa Village,duckass74,5.0,2020년 1월 가족여행,"위치가 공항과 가까워 아주 좋았고 빌리지 내에 식당, 쇼핑 등 부대시설이 많아서 편리했습니다. 하와이 빅아일랜드에서 최적의 위치가 아닐까 싶습니다.",숙박 날짜: 2020년 1월
Hilton Waikoloa Village,liberalizer,2.0,서비스  마인드가 없는 호텔,"수익 최우선, 운영과 관리에 초점이 맞춰진 호텔 같습니다. 호텔의 핵심인 게스트 중심의 서비스 마인드가 매우 부족해보입니다. 호텔이라기 보다는콘도미니엄 정도의 서비스 수준.",숙박 날짜: 2020년 1월
Hilton Waikoloa Village,Seungho Shin,5.0,엄청 넓고 부대 시설도 잘 구비된 리조트,엄청 넓고 부대 시설도 잘 구비되어 지내기 좋다. 아침에 하는 무료 필라테스 수업을 하고 기분이 좋았다. 하지만 리조트피 52불과 셀프파킹피 33불은 별도로 내야한다,숙박 날짜: 2019년 12월
Hilton Waikoloa Village,love4kid,1.0,문제 발생 시에는 해결을 기대하기 어려움,"워낙 전반적으로 오래되고 낙후되어 있는 하와이 호텔들 가운데에서는 상대적으로 덜 후지고 덜 오래되어 보이는 것은 장점. 너무나 지나치게 느리고 비효율적인 체크인 프로세스는 여행의 시작을 망치기에 충분하며, 방 설비에 대한 시정 요청은 전혀 이행되지 않으므로 주의가 필요함. 체크인 프로세스가 아무리 힘들고 지쳐도 꾹 참고 확인하기 바람. 한 번 문제가 발생하면 해결되기를 기대하기 어려우니, 반드시 방 교체를 요구해야 하며 문제가 확실히 해결된 것인지 직접 시간과 노력을 들여 재차 확인이 필요함. 요약하자면, 여행을 망칠 리스크를 조금이라도 줄이고 싶다면 선택하지 않아야 함",숙박 날짜: 2019년 12월
Hilton Waikoloa Village,jackleetoo,2.0,지불한 금액대비 불만족함.,"리조트사용에 대한 전반적 설명부족. 아침 조식 음식의 질이 가격에 많이 부족. 점심,저녁 식사할 만한 곳이 부족. 직원들의 서비스부족.",숙박 날짜: 2019년 10월
Fairmont Orchid,lifeistravel2015,4.0,휴식에 알맞는 호텔,직원들 친절하고 호텔구조나 시설이 약간 세월의 흔적이있지만 격조있는 호텔입니다. 조용해서 좋고 밤이 되면 바로 앞 비치에 거북과 대형가오리가 매일 찾아와서 가까이서 볼 수 있어 좋았어요.,숙박 날짜: 2017년 10월
Fairmont Orchid,jayward509,4.0,친구와 힐링 골프 좋은 추억을 간직한 여행 이었음,3년안에 다시 가고 싶은 추억을 간직한 여행으로 친구와 이웃에게 추찬할 것이고 가족여행을 번드시 한번 가겠습니다.,숙박 날짜: 2017년 7월
Fairmont Orchid,kyungyeall,3.0,프라이스라인으로 해서 그런지..,룸 컨디션이 첫날부터 별로... 슬리퍼 갖다 달라고 요청해야지만 줌 그러나 다음날 부터 팁을 주니 좋아짐 담당 직원과 문자로 연락을 주고 받고 조치를 받는건 좋음 프라이빗 비치도 너무 좋고 거북이가 온다는데 이틀 나가봤는데 못 봄 스노쿨링은 무조건 이른 아침에 하세요. 물속 투명도가 다름 스노쿨링 장비 다 무료 대여 비치타올도 무료 서서 타는 보트 이름이 기억 안나는데 예약제고 시간 제한 있고 40달러라고 함 우리는 아침 일찍 가서 얼마냐 물어보니 30분 무료로 타라고 함,숙박 날짜: 2017년 7월
Fairmont Orchid,Kyuhwan. Choi,4.0,Good,조용하니 한국사람도 적고 좋았구요. 특히 전반적으로 분위기도 굿!! 조식은 괜찮았습니다. 이름모를 새들도 같이 아침먹으러 오는거 보면 정말 여행온 것 같더라구요 직원분들도 친절했구요,숙박 날짜: 2017년 7월
Fairmont Orchid,heebin02,5.0,휴가로 가서 편하게 있었던 페어몬트 오키드,프라이빗 비치도 있구 맛있는 레스토랑도 있어요 저희는 트윈베드룸 묵었는데 세면대도 2개나 있고 샤워부스도 욕조딸린거1개랑해서 2개 암튼 너무 편하게 잘 묵었어요. 룸서비스로 피자 시켰을때도 너무 맛있었어요 그리고 노리오스 재패니즈 레스토랑 롤이 정말 맛있었어요!! 룸 라나이는 썬베드랑 테이블도 따로 있었구요 다만 1층은 식물들로 인해 뷰가 별로 였어요. 뭐 더 프라이빗하긴한듯.. 2층이상이 좋을거 같아요~^^,숙박 날짜: 2016년 10월
Grand Naniloa Hotel Hilo   a DoubleTree by Hilton,Seungho Shin,5.0,깔끔한 디자인의 훌륭한 위치와 시설,"사실 이 호텔에 별을 5개 준 이유는 무료 골프 라운딩이 가는하였다는 것이다. 골프채 대여도 무료, 볼도 무료 사용, 단지 카트 사용료만 지불하고 즐거운 라운딩, 물론 리조트 피 30불을 내었지만 발레 파킹피에 웰컴 칵테일을 2잔 제공해 주니 다시 힐로에 온다면 반드시 여기에 묵을거다.",숙박 날짜: 2019년 12월
Grand Naniloa Hotel Hilo   a DoubleTree by Hilton,dingting2019,4.0,만족스러웠습니다,일단 프론트에 뷰가 정말 아름답습니다 그리고 yuko 매니저 정말 친절해서 기분이 좋았습니다. 힐튼 회원은 무료 생수와 웰컴쿠키 받았습니다. 위치도 쇼핑몰과 가깝고 주차장 넓습니다.방깨끗하고 뷰도좋아요!,숙박 날짜: 2019년 10월
Grand Naniloa Hotel Hilo   a DoubleTree by Hilton,Destination298774,4.0,The location was good,힐로에서 관광하기에 좋은 위치에 있었습니다 공항에서도 근접하고 유명식당및 관광지도 근방에 있어 도움이 되었습니다 전체적으로 깔끔했어요,숙박 날짜: 2019년 7월
Grand Naniloa Hotel Hilo   a DoubleTree by Hilton,pk516,4.0,힐로 나릴로아 힐튼,힐로는 두 번째 방문으로 올 때마다 느끼는 것은 조용한 시골동네 같은 느낌입니다. 사람들도 소박하고 주변에 구경할 곳도 많습니다. 호텔 안에 마이크로웨이브와 소형 냉장고가 준비돠어 있어 햇반이나 간단한 식사를 할 수 있습니다. 직원들은 전반적으로 친절하고 처음에 왔을 때는 셀프 주차이지만 지금은 발랫 파킹으로 바뀌었습니다. 아무튼 힐로에서는 가장 좋은 숙박시설로 생각됩니다. 다음에 다시 와도 이 호텔에 숙박하려고 합니다.,숙박 날짜: 2018년 2월
Grand Naniloa Hotel Hilo   a DoubleTree by Hilton,물푸레나무,4.0,Grand Naniloa Hotel,"힐로에서 3박을 묵었으며 2층으로 방을 배정받았는데 처음에는 바깥 경치가 안 좋을 것 같아 걱정했으나 발코니 밖으로 바닷가가 바로 보여 오히려 더 좋았다. 바다 멀리 방파제가 있어 파도가 세지 않아 파도가 호텔까지 올 걱정은 없었다. 방에 전자레인지가 있어 밖에서 조리용 음식을 사 와서 방에서 데워 먹으니 편리했고 호텔 내 세탁시설이 있어 좋았다. 단, 25센트동전만 사용이 가능해서 좀 불편했는데 로비로 가서 동전을 교환하는 수고가 필요하다.",숙박 날짜: 2018년 1월
Royal Kona Resort,문석범,5.0,정말 만족합니다!,"201호에 묵었습니다. 장단점을 정리하면 다음과 같습니다. 장점: 멋진 뷰, 객실에서 보이는 루아우 쇼, 이용 요금에 비해 충실한 어메니티 및 시설, 편리한 주차, 친절한 직원들, 예쁜 라군 등 단점: 없음. 시설이 다소 오래돼 보이나 요금을 생각하면 괜찮음.",숙박 날짜: 2020년 1월
Royal Kona Resort,harumisangdong,5.0,적당한 가격에 괜찮은 호텔입니다.,"여행사를 대행으로 예약을 해서 정확한 가격은 알수 없지만 그리 비싸진 않은듯합닏. 조금 오래된 호텔이지만 시설은 좋습니다. 방이 넓고 침대, tv, 테이블등이 모두 갖춰져 있고, 특히 테라스가 넓어 좋았습니다. 전망도 좋고, 시내 중심이라 다운타운에 걸어서 갈만한 거리입니다. 특히 수영장 시설이 너무 좋았습니다. 아이 둘과 함께 묶었는데 전혀 불편함이 없었습니다.",숙박 날짜: 2018년 1월
Royal Kona Resort,gaggung,3.0,적당한 호텔,평범한 호텔로 급이 높지 않으나 방이 엄청 큽니다; 그러다고 쇼파나 머 딴 게 있는 건 아니고 그냥 방만 커요. 방이 딱히 좋은 건 아닌데 전망이 좋고 테라스가 2면으로 엄청 컸습니다. 수영장이 좋다고 하는데 이용해 보지는 못했습니다. 렌트카가 펑크나서 늦은 밤에 도착했는데 프론트에 아무도 없어서 한참을 못 들어가고 있었네요.,숙박 날짜: 2017년 5월
Royal Kona Resort,LEEE216,5.0,너무 좋아요!,좀 올드한 느낌이지만 방도 넓고 수영장도 너무 멋집니다. 3박 너무 편하게 쉬다 왔습니다~~! 다만 와이키키쪽으로 연락할게 있어서 전화 이용했는데 비용이 좀 많이 나왔어요.,숙박 날짜: 2017년 6월
Royal Kona Resort,클래시카,4.0,편안하고 좋았습니다~,뷰가 정말 멋진 곳이였어요 리셉션도 친절하시고 숙소도 다른 곳에 비해 저렴하고 나름 만족했답니다~ 다음에 또 가면 더 머물고 싶네요,숙박 날짜: 2014년 10월
Four Seasons Resort Hualalai,paul-smith123ps,4.0,포시즌스,하와이 오아후 보다 확실히 빅아일랜드에 있는 코나 호텔들이 훨씬 좋아요. 그리고 코나 중에서도 최고 호텔 답게 일단 조경이 끝내줘요,숙박 날짜: 2017년 11월
Four Seasons Resort Hualalai,441지은박,5.0,코나 여행을 위해 방문,"객실은 개별로 분리되어있어 별장처럼 느껴져서 좋았고 차로 들어갈때 골프장 잔디가 넓게 펼쳐져 있는것이 인상적이었고 수영장이 여러개 있는데 메인 수영장이 고급스럽다 화장실에 생리대, 탐폰, 미니타월도 비치되어있고 너무 좋은 시간들이었다.",숙박 날짜: 2016년 8월
Four Seasons Resort Hualalai,khakhakha,3.0,가격 대비 실망스러웠습니다.,"1. 객실 : 포시즌에 묵기 전에 페어몬트를 방문했었는데 확실히 페어몬트에 비해서는 전반적인 객실 컨디션이 좋습니다. 다만 80만원이 넘는 가격에 비해 방이 다소 좁았습니다. 가격 대비로 따진다면 페어몬트가 더 낫다고 생각합니다. 무엇보다 어메니티가 부실했어요. 오로지 화장솜과 면봉이 전부입니다. 빗, 면도기, 칫솔, 치약 등등은 모두 없었습니다. 샴푸, 컨디셔너, 샤워젤 등은 1회용이 아니라 커다란 통에 담겨 있습니다. 2. 시설 : 빅아일랜드 최고의 리조트답게 리조트 조경이 정말 멋집니다. 하루 종일 나무를 다듬고 잔디를 깎는 직원들로 분주합니다. 수영장도 관리가 잘 되어 있었습니다. 골프를 쳐보고 싶다는 생각이 절로 들었습니다. 3. 식사 : 비치트리 레스토랑에 갔었는데 음식이 너무 짰습니다. 피자와 타코를 먹었으나 둘 다 별로였습니다. 직원들은 친절했어요. 4. 조식 : 빵 종류는 7~8가지가 될 정도로 다양했으나, 그밖의 음식들은 최고급 리조트에 미치지 못한다고 생각합니다. 잼도 2~3종류에 불과했고, 따뜻한 요리는 딤섬과 죽 종류가 유일했습니다. 오히려 방콕의 10~20만원대 식당들이 훨씬 더 좋은 조식을 제공해 줍니다. 또한 직원들이 접시를 제 때 치워주지 않았어요. 심지어는 접시를 치워달라고 직접 이야기까지 했는데도 5분 이상 지체되었습니다. 결국 접시를 쌓아놓고 식사를 해야 하는 상황을 맞이했습니다. 5. 총평 : 포시즌스는 빅아일랜드 최고의 리조트라는 것에 이견이 없습니다. 하지만 객실 크기, 레스토랑의 만족도 등을 전반적으로 고려하면 과연 80만원이 넘는 돈을",숙박 날짜: 2016년 9월
Four Seasons Resort Hualalai,sparkdog,5.0,멋진 럭셔리! ,"우리는 오션뷰 룸에서 러블리한 오션프론트 룸으로 업그레이드 받았습니다. 리뷰들을 읽고 나서 우리는 2층의 방을 선택했는데, 물이 보이는 뷰가 매우 아름다웠기 때문입니다. 모든 직원들은 뛰어났고, 당신이 도착할 때부터 당신의 이름을 알고 있으며 당신을 귀족처럼 대해줍니다. 이는 포시즌의 표준 서비스입니다. 무엇하나 실망스러운 것이 없습니다. 과거 항공사 직원으로서 저는 왜 많은 사람들이 코나를 방문하고 싶어하는지 알게 됐습니다.",
Four Seasons Resort Hualalai,MikeKim17,3.0,실망이었습니다.,"시설적인 측면에서 하와이에 있는 포시즌스 리조트들 중 No.1인 것은 맞습니다. 하와이 포시즌스 Top 2라 할 수 있는 마우이 포시즌스에도 가보았는데, 리조트 자체가 후알랄라이 포시즌스보다 작더군요. Pool도 더 작고, 해변가도 더 작았습니다. 다만 제 개인적인 경험으로는 매우 실망스러웠습니다. 음식이 매우 짰고, 직원들 서비스도 다른 포시즌스들에 비해 별로였습니다. 특히 하우스메이드가 불친절하구요. 하우스 메이드가 청소 후에 방에 벌레가 들어와서 한바탕 난리가 났었습니다. 사실 저는 빅아일랜드에 꼭 가지 않아도 되었었는데, 이 곳에 와보려고 마우이 일정을 줄이면서 빅아일랜드에 3일 정도 있었거든요.. 혹시 리조트의 명성 때문에 이 골 포시즌스에 오시려고 하는 분들이 있다면 대신 몰디브 포시즌스들을 추천합니다. 그 중에서도 포시즌스 란다를 더 추천하구요..",숙박 날짜: 2016년 1월
